"Sensitivity of Report w.r.t. Material Indicator","Sensitivity of Report w.r.t. Position: Magnitude (/m)","Sensitivity of Report w.r.t. Position[0] (/m)","Sensitivity of Report w.r.t. Position[1] (/m)","Sensitivity of Report w.r.t. Position[2] (/m)","Report: Pressure Drop 1 (Pa)","Velocity: Magnitude (m/s)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Material Indicator","Pressure (Pa)","Wall Shear Stress: Magnitude (Pa)","Wall Shear Stress[i] (Pa)","Wall Shear Stress[j] (Pa)","Wall Shear Stress[k] (Pa)","Topology Level Set","Position: Magnitude (m)","Position[X] (m)","Position[Y] (m)","Position[Z] (m)","X (m)","Y (m)","Z (m)"
0.001500061945989728,1.3264601723277608e-07,-1.2923671418265032e-07,-2.9880388133186539e-08,0,0.43906973541129179,0.00049774961682008993,-0.00047865736996755004,-0.00013653498899657279,0,0,4.4675534991335262,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.023717082448530415,-0.01949999997770414,0.013500000027404742,0,-0.01949999997770414,0.013500000027404742,0
0.0015000683488324285,3.0154049222596321e-07,-7.0242650897277357e-08,2.9324501435966377e-07,0,0.43906973541129179,0.00051698680725196405,-0.00048872444313019514,-0.00016859352763276547,0,0,4.4433673193300098,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.024545875420622483,-0.020500000005152542,0.013499999998276467,0,-0.020500000005152542,0.013499999998276467,0
0.0015000574057921767,1.1732971994736637e-07,-1.0104133022382101e-07,5.9639858899298041e-08,0,0.43906973541129179,0.00047269549872953551,-0.00044879168854095042,-0.00014841514348518103,0,0,4.4746780778043433,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.024300205757453799,-0.019499999977760019,0.01450000002489483,0,-0.019499999977760019,0.01450000002489483,0
0.0015000745188444853,7.4359393580437053e-07,2.5249766016127348e-07,6.9941180500340165e-07,0,0.43906973541129179,0.0005329529731219984,-0.00049380422569811344,-0.00020049004524480551,0,0,4.4188032533654855,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.025387004558699956,-0.021500000011875527,0.013499999998252021,0,-0.021500000011875527,0.013499999998252021,0
0.0015000632265582681,2.9929993808849755e-07,-1.5702848051965166e-07,2.547989584858381e-07,0,0.43906973541129179,0.00049139554560231023,-0.00045868955203332007,-0.00017627670604269952,0,0,4.4519899133488501,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.025109759060808243,-0.020500000005241017,0.01449999999575724,0,-0.020500000005241017,0.01449999999575724,0
0.0015000537969172001,6.7212741982533914e-08,-5.7262795967769975e-08,3.5192682233160669e-08,0,0.43906973541129179,0.00045196406250636788,-0.00042274041334167123,-0.00015988138329703361,0,0,4.4823858139474186,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.024909837413845247,-0.019499999977815895,0.015500000027399504,0,-0.019499999977815895,0.015500000027399504,0
0.0015000333078205585,1.0937174882715305e-07,-5.4534662182599786e-08,-9.4805854577339121e-08,0,0.43906973541129179,0.00034815104810778771,-0.00031504759681411088,-0.00014816937618888915,0,0,4.5601511231251841,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.024789110514282273,-0.016500000003768549,0.018499999999052375,0,-0.016500000003768549,0.018499999999052375,0
0.0015000689309090376,4.4832105507093006e-07,1.2560409810129789e-07,4.3036656347824167e-07,0,0.43906973541129179,0.00050744124120373165,-0.00046486055362038314,-0.00020347304234746844,0,0,4.4289023212916838,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.025932604967355975,-0.021500000012022208,0.014499999995723479,0,-0.021500000012022208,0.014499999995723479,0
0.0015000591520220041,1.4951014906601018e-07,-9.7585961063236014e-08,1.1327075914420795e-07,0,0.43906973541129179,0.0004703564666514877,-0.00043289974564686418,-0.00018393753271084279,0,0,4.4609949086173426,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.025700194555049721,-0.020500000005329495,0.015499999998351548,0,-0.020500000005329495,0.015499999998351548,0
0.0015000508865341544,2.740572350598307e-08,-1.3634934100211675e-08,2.3773141419872927e-08,0,0.43906973541129179,0.00043526348605251152,-0.00040018936851993203,-0.00017118052346631885,0,0,4.4906620780280484,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,-1,0.025544079549290746,-0.019500000006975608,0.016499999992377123,0,-0.019500000006975608,0.016499999992377123,0
